title,price,location,beds,baths,area,description,url
A Stunning Farm House Is Up For Grabs In DHA City - Sector 1 Karachi,PKR 12 Crore,,44,,"2,000 Sq. Yd.",,https://www.zameen.com/Property/dha_city_karachi_dha_city_-_sector_1_a_stunning_farm_house_is_up_for_grabs_in_dha_city_-_sector_1_karachi-54413915-8447-1.html
2000 Sq. Yards Luxury Farmhouse Plot For Sale in DHA City Karachi (DCK),PKR 12 Crore,,11,,"2,000 Sq. Yd.",,https://www.zameen.com/Property/karachi_dha_city_karachi_2000_sq_yards_luxury_farmhouse_plot_for_sale_in_dha_city_karachi_dck-54468624-1429-1.html
125 Square Yard House In DHA City Woodlands 30 Months Installments,PKR 1.95 Crore,,3,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_125_square_yard_house_in_dha_city_woodlands_30_months_installments-54472175-1429-1.html
150 Yards House In DHA City Woodlands 273K Monthly Book Now,PKR 2.34 Crore,,1,4,150 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_150_yards_house_in_dha_city_woodlands_273k_monthly_book_now-54472280-1429-1.html
Spacious 222 Square Yards House Available For Sale In DHA City - Sector 1,PKR 2.85 Crore,,22,5,222 Sq. Yd.,,https://www.zameen.com/Property/dha_city_karachi_dha_city_-_sector_1_spacious_222_square_yards_house_available_for_sale_in_dha_city_-_sector_1-54282035-8447-1.html
Farm House Spread Over 2000 Square Yards In DHA City - Sector 9 Available,PKR 11 Crore,,7,,"2,000 Sq. Yd.",,https://www.zameen.com/Property/dha_city_karachi_dha_city_-_sector_9_farm_house_spread_over_2000_square_yards_in_dha_city_-_sector_9_available-54468467-8453-1.html
3 BED APARTMENT AVAILABLE FOR BOOKING.,PKR 5.4 Crore,,4,3,222 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_3_bed_apartment_available_for_booking-54477686-1429-1.html
Fully Furnished Ready-To-Move Homes In DHA City Karachi - AARYANS Homes,PKR 2.55 Crore,,17,4,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_fully_furnished_ready-to-move_homes_in_dha_city_karachi_-_aaryans_homes-53867125-1429-1.html
"ARY LAGUNA DHA CITY KARACHI 1,2,3 & 4 Bedrooms, Duplex & Penthouses Units Available",PKR 85 Lakh,,1,1,100 Sq. Yd.,,https://www.zameen.com/Property/dha_city_karachi_ary_laguna_ary_laguna_dha_city_karachi_1_2_3_4_bedrooms_duplex_penthouses_units_available-54419007-17988-1.html
"5 MARLA LUXURY VILLA FOR SALE WOODLAND BY PACE, DHA CITY KARACHI | LC-10 | WA-10",PKR 1.95 Crore,,3,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_5_marla_luxury_villa_for_sale_woodland_by_pace_dha_city_karachi_lc-10_wa-10-54188091-1429-1.html
ULTRA LUXURY 125 YARDS VILLA FOR SALE ON EASY INSTALLMENTS DHA CITY KARACHI SECTOR 1,PKR 1.95 Crore,,3,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_ultra_luxury_125_yards_villa_for_sale_on_easy_installments_dha_city_karachi_sector_1-54188289-1429-1.html
ULTRA LUXURY 125 YARDS VILLA FOR SALE ON EASY INSTALLMENTS DHA CITY KARACHI SECTOR 1,PKR 1.95 Crore,,3,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_ultra_luxury_125_yards_villa_for_sale_on_easy_installments_dha_city_karachi_sector_1-54486294-1429-1.html
2500 SQ. YARDS UPGRADED FARMHOUSE FOR SALE DHA CITY KARACHI | LC-01 | JA-07,PKR 15 Crore,,17,,"2,500 Sq. Yd.",,https://www.zameen.com/Property/karachi_dha_city_karachi_2500_sq_yards_upgraded_farmhouse_for_sale_dha_city_karachi_lc-01_ja-07-54489659-1429-1.html
Build Your Dream 125 Sq. Yd Villa in DHA City Karachi,PKR 1.05 Crore,,9,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_build_your_dream_125_sq_yd_villa_in_dha_city_karachi-54490803-1429-1.html
DHA City Villa For Booking,PKR 1.95 Crore,,3,3,125 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_dha_city_villa_for_booking-54356649-1429-1.html
125 Sq. Yards Villa For Sale DHA City Sector 1 On Installments,PKR 2 Crore,,3,3,217 Sq. Yd.,,https://www.zameen.com/Property/karachi_dha_city_karachi_125_sq_yards_villa_for_sale_dha_city_sector_1_on_installments-54298963-1429-1.html
